device,tstamp,dstamp,CurrL1_A,CurrL2_A,CurrL3_A,ActPow_kW,AppPow_kVA,ReacPow_kvar,Energy_kWh,VolL1_V,VolL2_V,VolL3_V,THDUL1,THDUL2,THDUL3,THDIL1,THDIL2,THDIL3,cosphi
PaÃ§osConcelho,2025-05-16 00:00:34,00:59/ 16.05.2025 (UTC 2),15.02,12.76,11.08,7.94,9.33,\N,454165,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:00:34,00:59 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.11,0.12,408.25,350,406.2,\N,\N,\N,1
ParqueInterior,2025-05-16 00:00:34,00:59/ 16.05.2025 (UTC 2),2.46,1.06,1.08,0.27,1.1,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:00:34,00:59/ 16.05.2025 (UTC 2),75.04,65.69,73.09,50.24,51.31,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:00:34,00:59/ 16.05.2025 (UTC 2),0.52,0.55,1.53,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:00:34,00:59/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:01:34,01:00/ 16.05.2025 (UTC 2),74.65,65.06,71.71,49.76,50.85,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:01:34,01:00/ 16.05.2025 (UTC 2),0.5,0.58,1.51,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:01:34,01:00/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:01:34,01:00/ 16.05.2025 (UTC 2),2.47,1.09,1.07,0.27,1.11,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:01:34,01:00/ 16.05.2025 (UTC 2),15.08,12.68,9.29,7.65,8.91,\N,454165,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:01:34,01:00 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,389.87,418.33,422.3,\N,\N,\N,1
Master,2025-05-16 00:02:34,01:01 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,410.28,338.3,433.97,\N,\N,\N,1
InformÃ¡tica,2025-05-16 00:02:34,01:01/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:02:34,01:01/ 16.05.2025 (UTC 2),0.5,0.55,1.53,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:02:34,01:01/ 16.05.2025 (UTC 2),14.69,12.64,9.24,7.53,8.75,\N,454165,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:02:34,01:01/ 16.05.2025 (UTC 2),2.39,1.06,1.06,0.28,1.08,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:02:34,01:01/ 16.05.2025 (UTC 2),103.29,98.15,102.79,68.37,72.79,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:03:34,01:02 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,417.13,297.21,416.33,\N,\N,\N,1
ParqueInterior,2025-05-16 00:03:34,01:02/ 16.05.2025 (UTC 2),2.43,1.07,1.07,0.27,1.09,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
